place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,city,collected_at
ChIJzZbnw_TDhkcRbKoyXHHLgcg,Farmacia Imperia,pharmacy,45.4413449,9.172331599999998,4.0,49.0,,"Via Spezia, 20, Milano",milan,2026-02-03T22:21:22.596125
ChIJDegA3grEhkcRISyNsAsRVdk,Farmacia Meda,pharmacy,45.4411146,9.178889999999999,4.8,30.0,,"Via Giuseppe Meda, 37, Milano",milan,2026-02-03T22:21:22.698018
ChIJG2nTNgrEhkcR5nKKgohz98A,Farmacia Dr Ferrari,pharmacy,45.44371399999999,9.179186099999997,3.8,14.0,,"Viale Tibaldi, 15, Milano",milan,2026-02-03T22:21:22.816149
ChIJBc-kxQzEhkcRmZW6CC3p_iY,BENU Farmacia Comunale Milano N. 61,pharmacy,45.4405416,9.183370000000002,3.7,44.0,,"Via Vincenzo Magliocco, 3, Milano",milan,2026-02-03T22:21:22.816193
ChIJRyZhwAzEhkcRjAOVvUDhRVU,BENU Farmacia Online,pharmacy,45.4402505,9.183769999999999,2.4,11.0,,"Via Vincenzo Magliocco, 3, Milano",milan,2026-02-03T22:21:22.816200
ChIJAQAwMQrEhkcREbg6cc_0pIg,Farmacia Tibaldi S.n.c,pharmacy,45.44370449999999,9.1792701,3.8,21.0,,"Viale Tibaldi, 15, Milano",milan,2026-02-03T22:21:22.816208
ChIJexYA_wvEhkcRgRJ5HtFYuSg,Farmacia Montagna,pharmacy,45.44410939999999,9.1829032,4.0,28.0,,"Viale Tibaldi, 50, Milano",milan,2026-02-03T22:21:22.816213
ChIJj6zul3_FhkcRcbzhqoGuGak,Farmacia Sant'Anna,pharmacy,45.44415679999999,9.183056299999999,4.5,10.0,,"Viale Tibaldi, 50, Milano",milan,2026-02-03T22:21:22.816222
ChIJS-7NJzfEhkcR7OP_4ppzN6Q,BENU Farmacia Milano N. 13,pharmacy,45.4414221,9.2136019,3.4,89.0,,"Piazza Geremia Bonomelli, 4, Milano",milan,2026-02-03T22:21:24.225628
ChIJY8_iYcvFhkcR5aK5oxxmXgc,Farmacia Boots Corvetto,pharmacy,45.4408361,9.224581800000001,3.1,427.0,,"Viale Lucania, 6, Milano",milan,2026-02-03T22:21:24.331205
ChIJKQKjEfrFhkcRnTEeinM5CyA,Farmacia Manca,pharmacy,45.4425562,9.263284400000002,4.3,29.0,,"Via Giacinto Serrati Menotti, 12, Milano",milan,2026-02-03T22:21:25.831423
ChIJ8xwce-XphkcRyWytvTyEDUU,Tamoil,pharmacy,45.4456247,9.074665099999997,4.0,304.0,,"TANG. OVEST LATO MUGGIANO EST SNC, Milano",milan,2026-02-03T22:21:26.169639
ChIJwYfkKgvChkcRWTwldvyXf_I,Farmacia Dr. Max,pharmacy,45.4472748,9.0882156,4.2,62.0,,"Via Pasubio, 1, Cesano Boscone",milan,2026-02-03T22:21:26.349213
